Student1 Student2 Student3
9.960913919347097689e+00 8.505118003070226251e+00 9.803044954629092089e+00
1.022915938682296932e+01 9.003773071797033012e+00 9.820846752344165154e+00
9.958004887438427488e+00 9.264359892872787938e+00 9.813899177838736776e+00
9.769559646096425354e+00 9.105148278303353493e+00 9.785706826043785611e+00
1.001323175079822292e+01 8.700228602165347880e+00 9.777942056375495739e+00
1.015609130108188651e+01 9.250004041946839450e+00 9.830268230238978333e+00
9.794065122698615511e+00 9.461875120743250989e+00 9.788784257489165697e+00
9.756694260028746513e+00 8.464417400951283810e+00 9.815010557685498682e+00
1.000017273576760246e+01 9.311096535999048740e+00 9.848342578694641247e+00
9.605962485070618229e+00 9.885813471517895579e+00 9.808537859834091321e+00
9.797134537962858047e+00 8.571358786906797533e+00 9.818077838373096000e+00
9.564988963412558221e+00 9.298385657636071500e+00 9.807746138797538649e+00
9.525535514743507903e+00 9.442864073316570739e+00 9.827413187603051270e+00
9.459198441309052185e+00 9.469280397903572677e+00 9.797993486868744384e+00
1.002559103422130704e+01 8.932278355193442820e+00 9.764154666451311471e+00
1.014647366452130939e+01 9.064395951808100094e+00 9.822393466933368344e+00
9.661028910025851957e+00 9.891196381565183771e+00 9.828533847027474124e+00
9.629398062448263573e+00 1.006420522097010917e+01 9.810619421978366006e+00
9.458403214472062004e+00 8.438182195341374481e+00 9.823475380108552812e+00
9.606231516654270663e+00 8.254805848215172048e+00 9.827003019451325372e+00
9.773953121511752329e+00 8.640219363413660147e+00 9.810006691234885778e+00
9.517897743229317697e+00 8.463436854081194838e+00 9.807227784232962264e+00
9.964941377904798614e+00 8.331705128284728090e+00 9.799608810222808941e+00
1.012354816681559022e+01 9.101705736536544578e+00 9.795905795640086566e+00
9.765338631098227751e+00 8.820835327559223060e+00 9.830544452742216777e+00
1.013891802567277267e+01 8.844447653643355167e+00 9.818779800097278354e+00
1.011130731028969265e+01 8.269128661108997136e+00 9.808717827887575069e+00
9.990629167139458033e+00 9.874197247092830310e+00 9.810588414337942709e+00
9.821058465199882903e+00 9.978720872193694191e+00 9.828442734236741529e+00
9.621151764309161081e+00 8.572935493402287221e+00 9.830334232620003831e+00
1.012495735181317080e+01 9.058838648067895960e+00 9.779477161267662311e+00
9.635289949179332680e+00 9.619723953987206144e+00 9.794597470643308768e+00
9.672007188253047616e+00 9.239598108096522822e+00 9.817031564844524993e+00
9.563609358144613992e+00 8.449427096055519115e+00 9.812240873516053341e+00
9.820049738097033298e+00 8.219956494766204713e+00 9.809275474682065621e+00
9.751862718367750205e+00 9.222064842593294287e+00 9.886233563281287218e+00
9.744570633110001268e+00 8.993159682725094584e+00 9.798888271029001729e+00
9.652945129713248917e+00 9.046648026343302007e+00 9.843924732788876142e+00
9.900816505306730519e+00 8.404417886827642903e+00 9.811539531670648628e+00
9.662809104619183742e+00 9.417582274460583491e+00 9.804457351076505844e+00
1.001677165873462982e+01 9.205179581315636739e+00 9.804214281930502040e+00
1.009931177187030116e+01 9.912902616893418895e+00 9.803869276431059987e+00
1.014815185989847635e+01 9.539609012157116652e+00 9.821279123342995021e+00
9.684125396672786934e+00 9.450733253884639140e+00 9.775494090996650343e+00
9.562394574565361793e+00 9.385816220650941233e+00 9.807157285055366103e+00
9.706542780272473081e+00 9.381749364512195655e+00 9.780734277281515787e+00
9.735691881160679628e+00 8.930678746512242583e+00 9.839446636720404982e+00
1.002269920072389553e+01 7.769387722028382903e+00 9.833285149956468629e+00
9.759768269228457527e+00 9.647873779161448837e+00 9.815930644350657985e+00
1.007687140724429575e+01 9.656203457303575988e+00 9.770727524396825459e+00
