Student1 Student2 Student3
9.256531748446988672e+00 8.780264279698776875e+00 9.807576616419346749e+00
1.017478202887441086e+01 8.958105442765836202e+00 9.797873489140851433e+00
9.784271906573341226e+00 9.296225588559792641e+00 9.795496309399421619e+00
9.900777442399457229e+00 9.478634661231302161e+00 9.809116833269319713e+00
1.007675903392236272e+01 1.044880873038860614e+01 9.835648422551450665e+00
9.545699294375673105e+00 9.376412469483760503e+00 9.776703490222551807e+00
9.829611985186213374e+00 9.221138634952964708e+00 9.800953417190600092e+00
9.399494948012101503e+00 9.800127236953695586e+00 9.799016819533116873e+00
9.712918692373751384e+00 1.021709356946319858e+01 9.804766908049897367e+00
9.931050615386803671e+00 8.435110352315854598e+00 9.837359941435661170e+00
9.997429209128922523e+00 8.005540430469821445e+00 9.789572605043355580e+00
9.664213431491564421e+00 1.039518793097271043e+01 9.805137184318077459e+00
1.020209958510798209e+01 8.955446469603110415e+00 9.796359614105668356e+00
1.006087789939040888e+01 1.007445400458700924e+01 9.798748757260312914e+00
9.394350309075520045e+00 8.295450335070459147e+00 9.809820297854622950e+00
9.996611642696496602e+00 9.096972717951089749e+00 9.816974878885160294e+00
1.006560330645783985e+01 8.724843025594879009e+00 9.789900983940890811e+00
1.016450485444707397e+01 9.489693673317670886e+00 9.789082644668500421e+00
9.780059603184083628e+00 9.711788161637850081e+00 9.820086809328389066e+00
9.517109513658427389e+00 8.451802163010482261e+00 9.795931620718882016e+00
9.783673878327965312e+00 8.486954002734314884e+00 9.807532751176108121e+00
9.794672680209417948e+00 8.157950302031160561e+00 9.806541419973695994e+00
9.492865811914711571e+00 8.668197887270896018e+00 9.823953005534532323e+00
9.888889511981671987e+00 8.670137985416440429e+00 9.827010275947419160e+00
9.624297431441222628e+00 8.183528510854143789e+00 9.812753180248085627e+00
1.007188374616452364e+01 8.999724619755046007e+00 9.863046941299632664e+00
9.647170948076084329e+00 8.998758340803647116e+00 9.795296333015222956e+00
9.749833977446433764e+00 8.748719355014955568e+00 9.839869607220686376e+00
9.918536394738007189e+00 8.704592177146361465e+00 9.811381892521577441e+00
9.824404097264487490e+00 9.549111579801344618e+00 9.794564938770090379e+00
9.743782112630780645e+00 8.309742874872425134e+00 9.806382763004270586e+00
9.703965074253630974e+00 7.771977740818145186e+00 9.798780761808927764e+00
9.645094018294777527e+00 9.442405029520358539e+00 9.822413503569517701e+00
9.375932373830913491e+00 9.227708162319563812e+00 9.795845803671960894e+00
1.003370131444393643e+01 8.409333922336337253e+00 9.808739638014294826e+00
9.680414274653083240e+00 8.028728599446566250e+00 9.794727222464926442e+00
9.643419961105102800e+00 9.289862705841954948e+00 9.808400735562605277e+00
9.534012257079812258e+00 9.201121745723776613e+00 9.795585044015382437e+00
9.705751773700459495e+00 9.275705599589132433e+00 9.794277678404384346e+00
9.749131662609823223e+00 8.368791422126196977e+00 9.811145005050853740e+00
9.802220155126903478e+00 8.945728945268720977e+00 9.830630465894714121e+00
1.001505179191393324e+01 9.395733810736160763e+00 9.821939595122946898e+00
9.742432638481048457e+00 9.156364514403692922e+00 9.843558374158220659e+00
9.842071015646739696e+00 9.115627355592561543e+00 9.815036378932497030e+00
9.679889536320432697e+00 9.367823882588323769e+00 9.825626056126038677e+00
9.880524041280843051e+00 8.910380889764390133e+00 9.810120977242839047e+00
9.932319772366508204e+00 8.972589008234029606e+00 9.783995923671691131e+00
9.840504838956761091e+00 8.462398404334919633e+00 9.818414038206315197e+00
9.605480626480195738e+00 9.006778712709277102e+00 9.798316191722067359e+00
1.004831201388835460e+01 8.947343674875591901e+00 9.767983323326916434e+00
